name,arch,# of symbols,train SNR(dB),l0,l1,l2,channel,l3,l4,l5
CCCCCC_512_10dB_II_1,CCCCCC,512,10,0.7491134820105154,0.7100878644593155,0.6574886501589908,0.4168930744068532,0.6439201062238669,0.738054910038091,0.6720823713495762
CCCCCC_512_10dB_II_101,CCCCCC,512,10,0.8165840717810618,0.6112296121029914,0.8122473608089399,0.07495397126561479,0.39902954161921633,0.47644305945951726,0.5908587250528456
CCCCCC_512_10dB_II_203,CCCCCC,512,10,0.7721994888933399,0.5229589316663863,0.7094275838212122,0.059058331896232656,0.24099922123589093,0.4336579823041264,0.5963060576704484
CCCCCC_512_10dB_II_305,CCCCCC,512,10,0.7173277358465557,0.4838214237478715,0.5837047515036184,0.05134841266878044,0.2165265971723991,0.42336021156250675,0.6087684284282636
CCCCCC_512_10dB_II_405,CCCCCC,512,10,0.6666828650462476,0.4455842326713514,0.5035022048256065,0.04772984146883216,0.20105425202393834,0.4175494879106932,0.6146404426309127
CCCCCC_512_10dB_II_500,CCCCCC,512,10,0.6258400324024732,0.4177985462961318,0.47589786897731734,0.04376741196913055,0.19235834252985218,0.41768435775479185,0.6211990993234175
CCCCCC_512_10dB_II_600,CCCCCC,512,10,0.5940095699286159,0.4004944340337681,0.44429861405227755,0.042441689232482184,0.18912487505357475,0.4200850525234319,0.6237624483772471
CCVVCC_512_10dB_II_1,CCVVCC,512,10,0.802815616885318,0.6092087634002106,0.5084846902497208,0.2709224756005444,0.6632468308074565,0.6715477063686033,0.6679603623438485
CCVVCC_512_10dB_II_101,CCVVCC,512,10,0.8314919607548774,0.6172969665708421,0.3533889602256727,0.04777026162305965,0.4702778466140168,0.5450916403456579,0.6623597522325153
CCVVCC_512_10dB_II_200,CCVVCC,512,10,0.7910274870787994,0.5325509362582919,0.3578436487837683,0.04143680603821066,0.47425431050831757,0.4999153161350685,0.6577247320851193
CCVVCC_512_10dB_II_304,CCVVCC,512,10,0.73950782908669,0.46912078955505465,0.3445212648639196,0.038038739132918886,0.48605311331869683,0.46817781766758687,0.6602049537851841
CCVVCC_512_10dB_II_409,CCVVCC,512,10,0.6883582593519476,0.42972156480897833,0.3312156008014196,0.03597325871733925,0.5032914420471916,0.4371793583224091,0.667319772364218
CCVVCC_512_10dB_II_502,CCVVCC,512,10,0.6499829277207579,0.40840936951999424,0.3071870769880995,0.033509720399787155,0.5260581072372726,0.41226930407029166,0.6737023599540131
CCVVCC_512_10dB_II_600,CCVVCC,512,10,0.6092069699794431,0.3893996092337596,0.2964263471621501,0.031901542285952385,0.5482155393950546,0.39206796620465534,0.6778203663946707
