Epoch 1, Loss: 0.003351, Test Loss: 0.011142, Training time: 0.98m
Epoch 2, Loss: 0.001168, Test Loss: 0.005837, Training time: 0.79m
Epoch 3, Loss: 0.001126, Test Loss: 0.010673, Training time: 0.79m
Epoch 4, Loss: 0.000875, Test Loss: 0.008987, Training time: 0.80m
Epoch 5, Loss: 0.000779, Test Loss: 0.008172, Training time: 0.80m
Epoch 6, Loss: 0.000700, Test Loss: 0.011386, Training time: 0.80m
Epoch 7, Loss: 0.000577, Test Loss: 0.003483, Training time: 0.80m
Epoch 8, Loss: 0.000733, Test Loss: 0.009988, Training time: 0.80m
Epoch 9, Loss: 0.000676, Test Loss: 0.005113, Training time: 0.80m
Epoch 10, Loss: 0.000753, Test Loss: 0.001610, Training time: 0.80m
Epoch 11, Loss: 0.000556, Test Loss: 0.006044, Training time: 0.80m
Epoch 12, Loss: 0.000478, Test Loss: 0.006137, Training time: 0.80m
Epoch 13, Loss: 0.000428, Test Loss: 0.007120, Training time: 0.80m
Epoch 14, Loss: 0.000393, Test Loss: 0.025050, Training time: 0.76m
Epoch 15, Loss: 0.000390, Test Loss: 0.001910, Training time: 0.74m
Epoch 16, Loss: 0.000283, Test Loss: 0.002096, Training time: 0.80m
Epoch 17, Loss: 0.000248, Test Loss: 0.006276, Training time: 0.80m
Epoch 18, Loss: 0.000224, Test Loss: 0.002720, Training time: 0.80m
Epoch 19, Loss: 0.000271, Test Loss: 0.027031, Training time: 0.80m
Epoch 20, Loss: 0.000245, Test Loss: 0.002599, Training time: 0.80m
Epoch 21, Loss: 0.000196, Test Loss: 0.004924, Training time: 0.80m
Epoch 22, Loss: 0.000167, Test Loss: 0.001246, Training time: 0.80m
Epoch 23, Loss: 0.000161, Test Loss: 0.002209, Training time: 0.80m
Epoch 24, Loss: 0.000154, Test Loss: 0.002309, Training time: 0.80m
Epoch 25, Loss: 0.000131, Test Loss: 0.002763, Training time: 0.80m
Epoch 26, Loss: 0.000127, Test Loss: 0.003837, Training time: 0.80m
Epoch 27, Loss: 0.000121, Test Loss: 0.013533, Training time: 0.80m
Epoch 28, Loss: 0.000126, Test Loss: 0.001544, Training time: 0.80m
Epoch 29, Loss: 0.000117, Test Loss: 0.012674, Training time: 0.80m
Epoch 30, Loss: 0.000155, Test Loss: 0.000531, Training time: 0.80m
Epoch 31, Loss: 0.000117, Test Loss: 0.001357, Training time: 0.80m
Epoch 32, Loss: 0.000090, Test Loss: 0.000698, Training time: 0.80m
Epoch 33, Loss: 0.000111, Test Loss: 0.001580, Training time: 0.80m
Epoch 34, Loss: 0.000104, Test Loss: 0.001221, Training time: 0.80m
Epoch 35, Loss: 0.000094, Test Loss: 0.007351, Training time: 0.80m
Epoch 36, Loss: 0.000106, Test Loss: 0.001837, Training time: 0.80m
Epoch 37, Loss: 0.000090, Test Loss: 0.004296, Training time: 0.80m
Epoch 38, Loss: 0.000076, Test Loss: 0.001328, Training time: 0.77m
Epoch 39, Loss: 0.000079, Test Loss: 0.002015, Training time: 0.74m
Epoch 40, Loss: 0.000079, Test Loss: 0.001236, Training time: 0.74m
Epoch 41, Loss: 0.000081, Test Loss: 0.000388, Training time: 0.74m
Epoch 42, Loss: 0.000080, Test Loss: 0.008451, Training time: 0.74m
Epoch 43, Loss: 0.000096, Test Loss: 0.001970, Training time: 0.77m
Epoch 44, Loss: 0.000073, Test Loss: 0.001648, Training time: 0.80m
Epoch 45, Loss: 0.000078, Test Loss: 0.000988, Training time: 0.80m
Epoch 46, Loss: 0.000064, Test Loss: 0.001069, Training time: 0.79m
Epoch 47, Loss: 0.000062, Test Loss: 0.000444, Training time: 0.79m
Epoch 48, Loss: 0.000068, Test Loss: 0.006803, Training time: 0.79m
Epoch 49, Loss: 0.000061, Test Loss: 0.000823, Training time: 0.80m
Epoch 50, Loss: 0.000086, Test Loss: 0.000392, Training time: 0.80m
Epoch 51, Loss: 0.000074, Test Loss: 0.000418, Training time: 0.79m
Epoch 52, Loss: 0.000065, Test Loss: 0.001383, Training time: 0.80m
Epoch 53, Loss: 0.000059, Test Loss: 0.000408, Training time: 0.79m
Epoch 54, Loss: 0.000059, Test Loss: 0.000425, Training time: 0.80m
Epoch 55, Loss: 0.000064, Test Loss: 0.000545, Training time: 0.79m
Epoch 56, Loss: 0.000056, Test Loss: 0.001054, Training time: 0.79m
Epoch 57, Loss: 0.000062, Test Loss: 0.000518, Training time: 0.80m
Epoch 58, Loss: 0.000057, Test Loss: 0.001529, Training time: 0.80m
Epoch 59, Loss: 0.000053, Test Loss: 0.000498, Training time: 0.80m
Epoch 60, Loss: 0.000105, Test Loss: 0.001260, Training time: 0.80m
Epoch 61, Loss: 0.000055, Test Loss: 0.000394, Training time: 0.80m
Epoch 62, Loss: 0.000056, Test Loss: 0.001394, Training time: 0.80m
Epoch 63, Loss: 0.000053, Test Loss: 0.003153, Training time: 0.80m
Epoch 64, Loss: 0.000054, Test Loss: 0.000733, Training time: 0.79m
Epoch 65, Loss: 0.000047, Test Loss: 0.000579, Training time: 0.74m
Epoch 66, Loss: 0.000052, Test Loss: 0.006654, Training time: 0.74m
Epoch 67, Loss: 0.000060, Test Loss: 0.001035, Training time: 0.74m
Epoch 68, Loss: 0.000048, Test Loss: 0.000853, Training time: 0.74m
Epoch 69, Loss: 0.000050, Test Loss: 0.001097, Training time: 0.74m
Epoch 70, Loss: 0.000059, Test Loss: 0.000703, Training time: 0.74m
Epoch 71, Loss: 0.000044, Test Loss: 0.001789, Training time: 0.74m
Epoch 72, Loss: 0.000045, Test Loss: 0.002584, Training time: 0.74m
Epoch 73, Loss: 0.000053, Test Loss: 0.001264, Training time: 0.74m
Epoch 74, Loss: 0.000041, Test Loss: 0.000999, Training time: 0.74m
Epoch 75, Loss: 0.000045, Test Loss: 0.000719, Training time: 0.74m
Epoch 76, Loss: 0.000040, Test Loss: 0.001357, Training time: 0.74m
Epoch 77, Loss: 0.000044, Test Loss: 0.000422, Training time: 0.74m
Epoch 78, Loss: 0.000042, Test Loss: 0.000961, Training time: 0.74m
